Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2024,02/11,Cal Poly - Stanford Dual,133,L,DEC,9 - 4,Dominic LaJoie,49112,11 - 10,Stanford,Ty Chandler,73187
2024,02/03,Oaks Open,133,W,FALL,1:12,Geovanni Bertolino,88037,Unlisted,Simpson,Ty Chandler,73187
2024,02/03,Oaks Open,133,W,MD,12 - 2,Spencer Von Savoye,82758,2 - 5,Cal Baptist,Ty Chandler,73187
2024,02/03,Oaks Open,133,L,MD,13 - 2,Yoshiya Funakoshi,79038,3 - 3,Cal Baptist,Ty Chandler,73187
2023,11/20,Roadrunner Open,133,W,MFOR,0 - 0,Jovan Garcia,81154,Unlisted,Menlo,Ty Chandler,73187
2023,11/20,Roadrunner Open,133,L,MD,13 - 3,Gabe Whisenhunt,67729,8 - 4,Oregon State,Ty Chandler,73187
2023,11/20,Roadrunner Open,133,L,DEC,6 - 2,Kobe Nelms,63874,4 - 16,Utah Valley,Ty Chandler,73187
2023,11/06,Menlo Open,133,L,DEC,8 - 4,Jovan Garcia,81154,Unlisted,Menlo,Ty Chandler,73187
2023,11/06,Menlo Open,133,W,DEC,12 - 10,Wyatt Richter,77773,0 - 7,Stanford,Ty Chandler,73187
2023,11/06,Menlo Open,133,W,DEC,4 - 1,Richard Herrera,69361,0 - 3,CSU Bakersfield,Ty Chandler,73187
2023,11/06,Menlo Open,133,L,DEC,4 - 3,Romeo McNeil,63461,1 - 5,CSU Bakersfield,Ty Chandler,73187
2025,02/07,Oregon State - Cal Poly Dual,133,L,DEC,7 - 4,Hunter Taylor,79558,2 - 2,Oregon State,Anthony Lucio,93036
2025,02/01,Oaks Invitational,133,W,DEC,7 - 3,Roberto Lopez,88075,Unlisted,Menlo,Anthony Lucio,93036
2025,02/01,Oaks Invitational,133,W,DEC,5 - 3,Jeremiah Steele,85843,Unlisted,Menlo,Anthony Lucio,93036
2025,02/01,Oaks Invitational,133,W,MD,10 - 0,Brayden Concepcion,79185,Unlisted,San Francisco State,Anthony Lucio,93036
2025,12/22,Reno TOC,133,W,MD,15 - 2,Caleb Morales,98973,Unlisted,Montana State-Northern,Anthony Lucio,93036
2025,12/22,Reno TOC,133,L,TF5,17 - 2 5:25,Ryan Lobato,92309,Unlisted,Grand View,Anthony Lucio,93036
2025,12/22,Reno TOC,133,W,DEC,4 - 2,Cameron Clark,81828,Unlisted,Grand View,Anthony Lucio,93036
2025,12/22,Reno TOC,133,L,DEC,4 - 1,Josh Neiwert,94103,Unlisted,Cal Poly Humboldt,Anthony Lucio,93036
2025,11/24,Roadrunner Open,133,W,MD,11 - 2,Hayden Ancheta,84902,Unlisted,Unattached,Anthony Lucio,93036
2025,11/24,Roadrunner Open,133,L,DEC,7 - 0,Santino Sanchez,79001,7 - 13,CSU Bakersfield,Anthony Lucio,93036
2025,11/24,Roadrunner Open,133,W,FALL,5:48,Grady Devins,99025,Unlisted,Cal Poly Humboldt,Anthony Lucio,93036
2025,11/24,Roadrunner Open,133,L,DEC,4 - 1,Josh Neiwert,94103,Unlisted,Cal Poly Humboldt,Anthony Lucio,93036
2025,11/02,Menlo Invitational,133,L,DEC,2 - 0,Romeo McNeil,63461,1 - 1,CSU Bakersfield,Anthony Lucio,93036
2025,11/02,Menlo Invitational,133,L,DEC,7 - 6,Josh Neiwert,94103,Unlisted,Cal Poly Humboldt,Anthony Lucio,93036
2025,02/01,Edinboro Open,141,W,DEC,5 - 3,Brogan Fielding,92840,Unlisted,Unattached,Andre Gonzales,72135
2025,02/01,Edinboro Open,141,W,TF5,19 - 3 3:43,Clayton Carr,93364,2 - 11,Lock Haven,Andre Gonzales,72135
2025,02/01,Edinboro Open,141,W,TF5,17 - 1 4:09,Conner Heckman,84588,5 - 10,Lock Haven,Andre Gonzales,72135
